id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo,faltas_totais,situacao
1,1,6,2026,16,MATRICULADO
2,1,16,2026,7,APROVADO
3,1,7,2026,0,APROVADO
4,2,32,2026,18,MATRICULADO
5,2,2,2026,1,MATRICULADO
6,2,6,2026,19,MATRICULADO
7,3,6,2026,2,MATRICULADO
8,3,35,2026,16,MATRICULADO
9,3,31,2026,8,APROVADO
10,4,26,2026,2,MATRICULADO
11,4,7,2026,0,MATRICULADO
12,4,18,2026,13,APROVADO
13,5,28,2026,12,MATRICULADO
14,5,24,2026,1,MATRICULADO
15,5,34,2026,7,MATRICULADO
16,6,40,2026,10,APROVADO
17,6,24,2026,16,REPROVADO
18,6,20,2026,15,APROVADO
19,7,34,2026,10,REPROVADO
20,7,27,2026,18,MATRICULADO
21,7,35,2026,7,APROVADO
22,8,26,2026,14,APROVADO
23,8,19,2026,9,MATRICULADO
24,8,10,2026,10,APROVADO
25,9,3,2026,17,MATRICULADO
26,9,20,2026,14,APROVADO
27,9,30,2026,2,REPROVADO
28,10,11,2026,11,APROVADO
29,10,18,2026,1,REPROVADO
30,10,16,2026,12,REPROVADO
31,11,29,2026,19,APROVADO
32,11,32,2026,0,APROVADO
33,11,21,2026,12,MATRICULADO
34,12,31,2026,15,REPROVADO
35,12,36,2026,15,REPROVADO
36,12,7,2026,9,MATRICULADO
37,13,17,2026,13,REPROVADO
38,13,3,2026,20,REPROVADO
39,13,1,2026,11,REPROVADO
40,14,17,2026,8,REPROVADO
41,14,33,2026,2,REPROVADO
42,14,28,2026,8,REPROVADO
43,15,31,2026,10,MATRICULADO
44,15,24,2026,15,REPROVADO
45,15,8,2026,3,REPROVADO
46,16,23,2026,19,REPROVADO
47,16,1,2026,12,MATRICULADO
48,16,14,2026,1,MATRICULADO
49,17,30,2026,10,REPROVADO
50,17,34,2026,8,APROVADO
51,17,20,2026,5,APROVADO
52,18,5,2026,17,REPROVADO
53,18,8,2026,16,APROVADO
54,18,28,2026,1,MATRICULADO
55,19,39,2026,11,APROVADO
56,19,16,2026,20,MATRICULADO
57,19,6,2026,11,APROVADO
58,20,3,2026,11,APROVADO
59,20,41,2026,6,APROVADO
60,20,24,2026,4,APROVADO
61,21,9,2026,18,MATRICULADO
62,21,21,2026,17,MATRICULADO
63,21,25,2026,8,APROVADO
64,22,35,2026,0,MATRICULADO
65,22,13,2026,3,REPROVADO
66,22,8,2026,3,MATRICULADO
67,23,25,2026,14,REPROVADO
68,23,1,2026,20,REPROVADO
69,23,38,2026,14,MATRICULADO
70,24,23,2026,17,MATRICULADO
71,24,28,2026,4,REPROVADO
72,24,14,2026,3,APROVADO
73,25,13,2026,4,MATRICULADO
74,25,32,2026,0,REPROVADO
75,25,38,2026,0,REPROVADO
76,26,8,2026,7,REPROVADO
77,26,33,2026,15,APROVADO
78,26,19,2026,4,APROVADO
79,27,13,2026,20,REPROVADO
80,27,16,2026,6,MATRICULADO
81,27,26,2026,17,REPROVADO
82,28,41,2026,6,REPROVADO
83,28,13,2026,14,APROVADO
84,28,36,2026,5,APROVADO
85,29,34,2026,2,MATRICULADO
86,29,27,2026,15,REPROVADO
87,29,20,2026,12,MATRICULADO
88,30,12,2026,12,REPROVADO
89,30,24,2026,15,REPROVADO
90,30,27,2026,2,REPROVADO
91,31,20,2026,5,MATRICULADO
92,31,26,2026,12,APROVADO
93,31,12,2026,15,REPROVADO
94,32,5,2026,5,REPROVADO
95,32,8,2026,16,REPROVADO
96,32,33,2026,4,MATRICULADO
97,33,7,2026,8,REPROVADO
98,33,39,2026,4,REPROVADO
99,33,12,2026,1,APROVADO
100,34,17,2026,1,APROVADO
101,34,40,2026,17,REPROVADO
102,34,21,2026,6,MATRICULADO
103,35,26,2026,11,REPROVADO
104,35,9,2026,2,APROVADO
105,35,23,2026,11,REPROVADO
106,36,11,2026,4,APROVADO
107,36,10,2026,2,REPROVADO
108,36,2,2026,15,MATRICULADO
109,37,17,2026,2,REPROVADO
110,37,38,2026,17,REPROVADO
111,37,2,2026,13,APROVADO
112,38,37,2026,13,REPROVADO
113,38,32,2026,11,APROVADO
114,38,11,2026,7,MATRICULADO
115,39,29,2026,8,APROVADO
116,39,9,2026,20,APROVADO
117,39,23,2026,15,APROVADO
118,40,22,2026,8,APROVADO
119,40,36,2026,4,MATRICULADO
120,40,14,2026,12,APROVADO
121,41,23,2026,6,APROVADO
122,41,7,2026,16,MATRICULADO
123,41,27,2026,12,APROVADO
124,42,28,2026,13,MATRICULADO
125,42,39,2026,15,REPROVADO
126,42,27,2026,8,MATRICULADO
127,43,41,2026,16,APROVADO
128,43,26,2026,6,APROVADO
129,43,9,2026,10,REPROVADO
130,44,17,2026,3,MATRICULADO
131,44,28,2026,7,REPROVADO
132,44,15,2026,12,MATRICULADO
133,45,3,2026,13,REPROVADO
134,45,39,2026,14,REPROVADO
135,45,23,2026,3,MATRICULADO
136,46,18,2026,11,APROVADO
137,46,14,2026,3,REPROVADO
138,46,24,2026,6,APROVADO
139,47,38,2026,9,APROVADO
140,47,10,2026,8,MATRICULADO
141,47,34,2026,6,REPROVADO
142,48,24,2026,16,REPROVADO
143,48,5,2026,7,REPROVADO
144,48,19,2026,3,APROVADO
145,49,14,2026,13,APROVADO
146,49,18,2026,15,APROVADO
147,49,6,2026,17,REPROVADO
148,50,41,2026,18,APROVADO
149,50,29,2026,13,REPROVADO
150,50,26,2026,5,APROVADO
151,51,6,2026,6,APROVADO
152,51,18,2026,0,MATRICULADO
153,51,13,2026,11,MATRICULADO
154,52,34,2026,5,APROVADO
155,52,21,2026,14,MATRICULADO
156,52,7,2026,15,MATRICULADO
157,53,12,2026,7,MATRICULADO
158,53,7,2026,15,MATRICULADO
159,53,33,2026,0,APROVADO
160,54,6,2026,19,REPROVADO
161,54,17,2026,12,MATRICULADO
162,54,34,2026,11,REPROVADO
163,55,34,2026,9,APROVADO
164,55,1,2026,10,APROVADO
165,55,5,2026,11,REPROVADO
166,56,1,2026,10,REPROVADO
167,56,24,2026,4,MATRICULADO
168,56,37,2026,19,APROVADO
169,57,28,2026,14,MATRICULADO
170,57,36,2026,7,REPROVADO
171,57,13,2026,18,APROVADO
172,58,13,2026,17,APROVADO
173,58,31,2026,12,MATRICULADO
174,58,29,2026,1,APROVADO
175,59,11,2026,18,REPROVADO
176,59,38,2026,16,APROVADO
177,59,19,2026,8,REPROVADO
178,60,17,2026,17,REPROVADO
179,60,28,2026,18,MATRICULADO
180,60,36,2026,16,APROVADO
181,61,13,2026,11,APROVADO
182,61,27,2026,20,APROVADO
183,61,22,2026,15,MATRICULADO
184,62,13,2026,14,APROVADO
185,62,27,2026,16,APROVADO
186,62,22,2026,10,REPROVADO
187,63,19,2026,18,APROVADO
188,63,14,2026,8,MATRICULADO
189,63,12,2026,15,MATRICULADO
190,64,41,2026,13,APROVADO
191,64,28,2026,12,APROVADO
192,64,11,2026,2,MATRICULADO
193,65,4,2026,18,REPROVADO
194,65,10,2026,1,APROVADO
195,65,3,2026,10,APROVADO
196,66,27,2026,5,MATRICULADO
197,66,2,2026,16,MATRICULADO
198,66,21,2026,14,REPROVADO
199,67,16,2026,6,REPROVADO
200,67,35,2026,1,MATRICULADO
201,67,18,2026,7,MATRICULADO
202,68,2,2026,20,REPROVADO
203,68,16,2026,20,APROVADO
204,68,13,2026,11,MATRICULADO
205,69,28,2026,6,REPROVADO
206,69,2,2026,16,APROVADO
207,69,8,2026,19,MATRICULADO
208,70,34,2026,19,MATRICULADO
209,70,13,2026,9,APROVADO
210,70,23,2026,9,APROVADO
211,71,18,2026,11,REPROVADO
212,71,35,2026,18,MATRICULADO
213,71,1,2026,15,APROVADO
214,72,8,2026,11,MATRICULADO
215,72,15,2026,16,REPROVADO
216,72,24,2026,0,MATRICULADO
217,73,21,2026,10,REPROVADO
218,73,36,2026,20,MATRICULADO
219,73,6,2026,13,REPROVADO
220,74,10,2026,15,APROVADO
221,74,4,2026,15,MATRICULADO
222,74,13,2026,18,REPROVADO
223,75,8,2026,2,REPROVADO
224,75,11,2026,8,MATRICULADO
225,75,19,2026,17,REPROVADO
226,76,13,2026,13,REPROVADO
227,76,7,2026,16,APROVADO
228,76,28,2026,18,REPROVADO
229,77,19,2026,14,REPROVADO
230,77,2,2026,2,APROVADO
231,77,24,2026,19,MATRICULADO
232,78,24,2026,10,REPROVADO
233,78,22,2026,4,MATRICULADO
234,78,33,2026,3,APROVADO
235,79,37,2026,7,MATRICULADO
236,79,32,2026,7,MATRICULADO
237,79,18,2026,14,REPROVADO
238,80,11,2026,16,REPROVADO
239,80,3,2026,4,MATRICULADO
240,80,36,2026,12,REPROVADO
241,81,1,2026,15,REPROVADO
242,81,11,2026,3,MATRICULADO
243,81,38,2026,4,APROVADO
244,82,9,2026,18,APROVADO
245,82,4,2026,14,REPROVADO
246,82,38,2026,4,MATRICULADO
247,83,25,2026,11,REPROVADO
248,83,17,2026,14,APROVADO
249,83,38,2026,4,REPROVADO
250,84,13,2026,7,REPROVADO
251,84,32,2026,16,APROVADO
252,84,5,2026,1,APROVADO
253,85,7,2026,18,APROVADO
254,85,35,2026,10,REPROVADO
255,85,39,2026,14,MATRICULADO
256,86,7,2026,17,REPROVADO
257,86,14,2026,4,APROVADO
258,86,37,2026,15,APROVADO
259,87,41,2026,18,MATRICULADO
260,87,18,2026,17,MATRICULADO
261,87,38,2026,13,MATRICULADO
262,88,6,2026,6,APROVADO
263,88,13,2026,12,REPROVADO
264,88,17,2026,12,APROVADO
265,89,41,2026,7,REPROVADO
266,89,23,2026,2,MATRICULADO
267,89,39,2026,17,APROVADO
268,90,24,2026,14,REPROVADO
269,90,1,2026,5,REPROVADO
270,90,30,2026,9,REPROVADO
271,91,37,2026,12,APROVADO
272,91,5,2026,1,MATRICULADO
273,91,19,2026,2,REPROVADO
274,92,16,2026,0,MATRICULADO
275,92,20,2026,16,APROVADO
276,92,31,2026,9,REPROVADO
277,93,28,2026,16,APROVADO
278,93,36,2026,11,MATRICULADO
279,93,25,2026,10,APROVADO
280,94,4,2026,2,REPROVADO
281,94,28,2026,17,REPROVADO
282,94,6,2026,5,REPROVADO
283,95,37,2026,2,APROVADO
284,95,38,2026,15,REPROVADO
285,95,11,2026,10,REPROVADO
286,96,22,2026,19,MATRICULADO
287,96,11,2026,18,APROVADO
288,96,25,2026,20,MATRICULADO
289,97,15,2026,2,MATRICULADO
290,97,18,2026,10,REPROVADO
291,97,28,2026,7,REPROVADO
292,98,39,2026,18,APROVADO
293,98,15,2026,9,REPROVADO
294,98,14,2026,18,MATRICULADO
295,99,18,2026,15,MATRICULADO
296,99,5,2026,2,REPROVADO
297,99,38,2026,5,MATRICULADO
298,100,20,2026,16,REPROVADO
299,100,22,2026,8,APROVADO
300,100,35,2026,3,APROVADO
301,101,22,2026,19,MATRICULADO
302,101,12,2026,16,MATRICULADO
303,101,25,2026,9,MATRICULADO
304,102,6,2026,0,MATRICULADO
305,102,5,2026,19,APROVADO
306,102,41,2026,16,MATRICULADO
307,103,25,2026,15,MATRICULADO
308,103,16,2026,15,APROVADO
309,103,5,2026,5,APROVADO
310,104,25,2026,2,APROVADO
311,104,35,2026,19,REPROVADO
312,104,22,2026,10,MATRICULADO
313,105,13,2026,8,APROVADO
314,105,8,2026,17,REPROVADO
315,105,7,2026,19,MATRICULADO
316,106,26,2026,4,REPROVADO
317,106,1,2026,3,MATRICULADO
318,106,16,2026,12,APROVADO
319,107,19,2026,3,APROVADO
320,107,30,2026,18,REPROVADO
321,107,15,2026,14,MATRICULADO
322,108,2,2026,18,MATRICULADO
323,108,24,2026,7,APROVADO
324,108,38,2026,10,MATRICULADO
325,109,24,2026,3,MATRICULADO
326,109,40,2026,10,REPROVADO
327,109,35,2026,15,APROVADO
328,110,16,2026,0,REPROVADO
329,110,12,2026,20,REPROVADO
330,110,20,2026,16,APROVADO
331,111,32,2026,1,MATRICULADO
332,111,39,2026,6,APROVADO
333,111,3,2026,17,REPROVADO
334,112,39,2026,7,MATRICULADO
335,112,34,2026,9,MATRICULADO
336,112,40,2026,18,MATRICULADO
337,113,31,2026,14,APROVADO
338,113,6,2026,11,MATRICULADO
339,113,24,2026,13,REPROVADO
340,114,39,2026,12,APROVADO
341,114,38,2026,17,APROVADO
342,114,6,2026,14,REPROVADO
343,115,1,2026,5,REPROVADO
344,115,26,2026,15,REPROVADO
345,115,13,2026,19,MATRICULADO
346,116,30,2026,2,MATRICULADO
347,116,23,2026,7,MATRICULADO
348,116,4,2026,20,MATRICULADO
349,117,23,2026,20,MATRICULADO
350,117,10,2026,3,REPROVADO
351,117,36,2026,20,REPROVADO
352,118,21,2026,14,REPROVADO
353,118,36,2026,18,APROVADO
354,118,39,2026,4,REPROVADO
355,119,14,2026,12,MATRICULADO
356,119,6,2026,19,MATRICULADO
357,119,11,2026,7,REPROVADO
358,120,6,2026,19,REPROVADO
359,120,27,2026,7,REPROVADO
360,120,22,2026,19,REPROVADO
361,121,30,2026,15,REPROVADO
362,121,29,2026,18,APROVADO
363,121,22,2026,12,MATRICULADO
364,122,27,2026,1,REPROVADO
365,122,8,2026,16,REPROVADO
366,122,2,2026,17,MATRICULADO
367,123,37,2026,9,REPROVADO
368,123,2,2026,20,APROVADO
369,123,12,2026,16,REPROVADO
370,124,30,2026,11,APROVADO
371,124,38,2026,18,REPROVADO
372,124,23,2026,18,REPROVADO
373,125,12,2026,14,MATRICULADO
374,125,28,2026,10,REPROVADO
375,125,18,2026,20,MATRICULADO
376,126,2,2026,4,REPROVADO
377,126,30,2026,16,APROVADO
378,126,17,2026,6,APROVADO
379,127,22,2026,17,APROVADO
380,127,31,2026,18,APROVADO
381,127,7,2026,18,MATRICULADO
382,128,8,2026,9,MATRICULADO
383,128,12,2026,2,REPROVADO
384,128,13,2026,11,MATRICULADO
385,129,15,2026,13,REPROVADO
386,129,37,2026,7,APROVADO
387,129,22,2026,16,APROVADO
388,130,12,2026,13,MATRICULADO
389,130,17,2026,7,APROVADO
390,130,32,2026,5,APROVADO
391,131,33,2026,16,MATRICULADO
392,131,31,2026,11,APROVADO
393,131,23,2026,4,MATRICULADO
394,132,1,2026,9,APROVADO
395,132,28,2026,15,APROVADO
396,132,41,2026,15,REPROVADO
397,133,22,2026,6,REPROVADO
398,133,24,2026,16,MATRICULADO
399,133,39,2026,13,REPROVADO
400,134,24,2026,13,REPROVADO
401,134,35,2026,9,MATRICULADO
402,134,7,2026,3,APROVADO
403,135,27,2026,7,MATRICULADO
404,135,22,2026,14,REPROVADO
405,135,40,2026,16,REPROVADO
406,136,41,2026,2,REPROVADO
407,136,37,2026,17,MATRICULADO
408,136,23,2026,8,APROVADO
409,137,22,2026,20,MATRICULADO
410,137,26,2026,9,REPROVADO
411,137,15,2026,17,APROVADO
412,138,19,2026,2,REPROVADO
413,138,35,2026,10,MATRICULADO
414,138,2,2026,19,REPROVADO
415,139,41,2026,5,MATRICULADO
416,139,22,2026,18,REPROVADO
417,139,18,2026,14,APROVADO
418,140,38,2026,13,REPROVADO
419,140,25,2026,8,MATRICULADO
420,140,6,2026,0,APROVADO
421,141,35,2026,1,MATRICULADO
422,141,4,2026,12,MATRICULADO
423,141,18,2026,5,MATRICULADO
424,142,7,2026,19,REPROVADO
425,142,23,2026,3,MATRICULADO
426,142,25,2026,20,APROVADO
427,143,30,2026,10,APROVADO
428,143,13,2026,1,APROVADO
429,143,40,2026,17,REPROVADO
430,144,36,2026,3,APROVADO
431,144,34,2026,3,MATRICULADO
432,144,11,2026,11,APROVADO
433,145,6,2026,7,MATRICULADO
434,145,15,2026,16,REPROVADO
435,145,29,2026,8,REPROVADO
436,146,13,2026,18,APROVADO
437,146,28,2026,20,MATRICULADO
438,146,21,2026,6,REPROVADO
439,147,21,2026,9,APROVADO
440,147,12,2026,5,MATRICULADO
441,147,4,2026,4,APROVADO
442,148,40,2026,5,REPROVADO
443,148,12,2026,15,APROVADO
444,148,27,2026,1,MATRICULADO
445,149,9,2026,1,REPROVADO
446,149,21,2026,11,APROVADO
447,149,22,2026,15,REPROVADO
448,150,23,2026,12,REPROVADO
449,150,35,2026,19,APROVADO
450,150,37,2026,2,REPROVADO
451,151,35,2026,9,REPROVADO
452,151,23,2026,14,REPROVADO
453,151,40,2026,2,REPROVADO
454,152,37,2026,11,APROVADO
455,152,3,2026,7,MATRICULADO
456,152,36,2026,13,REPROVADO
457,153,39,2026,15,APROVADO
458,153,27,2026,2,APROVADO
459,153,25,2026,12,MATRICULADO
460,154,34,2026,1,REPROVADO
461,154,7,2026,9,APROVADO
462,154,40,2026,14,APROVADO
463,155,35,2026,11,REPROVADO
464,155,16,2026,9,REPROVADO
465,155,26,2026,12,MATRICULADO
466,156,9,2026,8,REPROVADO
467,156,4,2026,18,MATRICULADO
468,156,8,2026,13,MATRICULADO
469,157,6,2026,7,MATRICULADO
470,157,36,2026,7,REPROVADO
471,157,41,2026,3,REPROVADO
472,158,35,2026,10,REPROVADO
473,158,30,2026,12,APROVADO
474,158,2,2026,15,APROVADO
475,159,32,2026,0,MATRICULADO
476,159,34,2026,8,MATRICULADO
477,159,5,2026,1,MATRICULADO
478,160,24,2026,18,MATRICULADO
479,160,34,2026,7,APROVADO
480,160,36,2026,5,MATRICULADO
481,161,10,2026,5,MATRICULADO
