id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo
1,1,11,2026
2,1,2,2026
3,1,1,2026
4,3,4,2026
5,3,7,2026
6,3,3,2026
7,4,10,2026
8,4,8,2026
9,4,5,2026
10,5,3,2026
11,5,11,2026
12,5,10,2026
13,6,10,2026
14,6,1,2026
15,6,4,2026
16,7,2,2026
17,7,7,2026
18,7,11,2026
19,8,10,2026
20,8,11,2026
21,8,1,2026
22,9,9,2026
23,9,2,2026
24,9,3,2026
25,11,4,2026
26,11,10,2026
27,11,2,2026
28,12,3,2026
29,12,12,2026
30,12,8,2026
31,14,2,2026
32,14,8,2026
33,14,6,2026
34,16,7,2026
35,16,13,2026
36,16,12,2026
37,17,5,2026
38,17,6,2026
39,17,1,2026
40,18,2,2026
41,18,3,2026
42,18,13,2026
43,19,1,2026
44,19,7,2026
45,19,13,2026
46,20,13,2026
47,20,2,2026
48,20,12,2026
49,21,9,2026
50,21,1,2026
51,21,8,2026
52,22,1,2026
53,22,6,2026
54,22,7,2026
55,23,12,2026
56,23,8,2026
57,23,5,2026
58,24,10,2026
59,24,2,2026
60,24,8,2026
61,25,4,2026
62,25,8,2026
63,25,5,2026
64,27,3,2026
65,27,10,2026
66,27,2,2026
67,29,7,2026
68,29,12,2026
69,29,9,2026
70,30,7,2026
71,30,1,2026
72,30,4,2026
73,31,13,2026
74,31,2,2026
75,31,10,2026
76,32,10,2026
77,32,5,2026
78,32,2,2026
79,33,4,2026
80,33,11,2026
81,33,13,2026
82,34,12,2026
83,34,4,2026
84,34,3,2026
85,35,13,2026
86,35,8,2026
87,35,9,2026
88,36,3,2026
89,36,10,2026
90,36,12,2026
91,38,11,2026
92,38,8,2026
93,38,9,2026
94,40,3,2026
95,40,12,2026
96,40,9,2026
97,41,6,2026
98,41,1,2026
99,41,10,2026
100,42,3,2026
101,42,7,2026
102,42,11,2026
103,43,8,2026
104,43,3,2026
105,43,13,2026
106,44,2,2026
107,44,1,2026
108,44,8,2026
109,45,9,2026
110,45,8,2026
111,45,12,2026
112,46,4,2026
113,46,7,2026
114,46,9,2026
115,47,6,2026
116,47,11,2026
117,47,7,2026
118,48,12,2026
119,48,5,2026
120,48,9,2026
121,50,9,2026
122,50,1,2026
123,50,13,2026
124,51,2,2026
125,51,1,2026
126,51,3,2026
127,52,2,2026
128,52,5,2026
129,52,3,2026
130,53,5,2026
131,53,13,2026
132,53,9,2026
133,56,8,2026
134,56,4,2026
135,56,10,2026
136,57,3,2026
137,57,6,2026
138,57,13,2026
139,58,2,2026
140,58,13,2026
141,58,10,2026
142,59,2,2026
143,59,11,2026
144,59,4,2026
145,60,10,2026
146,60,4,2026
147,60,8,2026
148,61,6,2026
149,61,11,2026
150,61,5,2026
151,62,11,2026
152,62,3,2026
153,62,7,2026
154,63,4,2026
155,63,6,2026
156,63,5,2026
157,64,3,2026
158,64,9,2026
159,64,2,2026
