id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo,media_geral
1,1,2,2026,8.6
2,1,11,2026,8.4
3,1,3,2026,8.8
4,1,12,2026,9.2
5,1,5,2026,8.4
6,2,12,2026,7.6
7,2,7,2026,7.5
8,2,5,2026,7.2
9,2,10,2026,8.5
10,2,13,2026,7.9
11,3,3,2026,4.2
12,3,13,2026,3.5
13,3,5,2026,3.4
14,3,1,2026,0.9
15,3,11,2026,0.5
16,4,9,2026,7.9
17,4,10,2026,8.6
18,4,1,2026,7.3
19,4,11,2026,8.1
20,4,4,2026,7.2
21,5,1,2026,3.5
22,5,3,2026,0.8
23,5,9,2026,4.7
24,5,7,2026,0.8
25,5,8,2026,0.2
26,6,10,2026,9.2
27,6,6,2026,7.2
28,6,4,2026,8.1
29,6,7,2026,8.2
30,6,13,2026,8.6
31,7,1,2026,8.8
32,7,13,2026,7.1
33,7,6,2026,7.3
34,7,8,2026,7.7
35,7,10,2026,8.0
36,8,13,2026,7.6
37,8,10,2026,8.4
38,8,1,2026,7.6
39,8,11,2026,9.3
40,8,8,2026,9.0
41,9,3,2026,8.6
42,9,13,2026,8.1
43,9,2,2026,7.1
44,9,11,2026,8.5
45,9,4,2026,9.7
46,10,11,2026,7.4
47,10,7,2026,9.4
48,10,8,2026,7.8
49,10,3,2026,9.6
50,10,10,2026,9.1
51,11,5,2026,5.2
52,11,12,2026,5.3
53,11,7,2026,6.6
54,11,2,2026,6.9
55,11,8,2026,5.9
56,12,1,2026,8.2
57,12,8,2026,9.9
58,12,5,2026,7.4
59,12,11,2026,7.7
60,12,4,2026,7.9
61,13,13,2026,7.3
62,13,3,2026,8.2
63,13,12,2026,7.4
64,13,6,2026,7.5
65,13,11,2026,9.7
66,14,5,2026,7.9
67,14,2,2026,9.5
68,14,3,2026,9.4
69,14,1,2026,8.4
70,14,13,2026,7.5
71,15,10,2026,3.2
72,15,1,2026,1.8
73,15,4,2026,0.5
74,15,3,2026,4.6
75,15,7,2026,2.4
76,16,2,2026,3.6
77,16,11,2026,0.1
78,16,8,2026,4.9
79,16,10,2026,0.7
80,16,5,2026,4.7
81,17,12,2026,7.3
82,17,6,2026,7.1
83,17,10,2026,7.3
84,17,9,2026,8.7
85,17,13,2026,7.3
86,18,9,2026,6.1
87,18,10,2026,5.8
88,18,2,2026,6.5
89,18,3,2026,5.6
90,18,7,2026,6.2
91,19,9,2026,8.3
92,19,7,2026,9.6
93,19,5,2026,9.9
94,19,8,2026,9.0
95,19,13,2026,7.4
96,20,8,2026,2.6
97,20,7,2026,1.6
98,20,1,2026,1.3
99,20,11,2026,2.6
100,20,9,2026,1.2
101,21,11,2026,8.7
102,21,9,2026,8.5
103,21,2,2026,8.9
104,21,10,2026,8.7
105,21,13,2026,7.3
106,22,5,2026,4.7
107,22,1,2026,3.8
108,22,12,2026,4.7
109,22,7,2026,1.0
110,22,9,2026,3.0
111,23,12,2026,9.9
112,23,11,2026,7.8
113,23,3,2026,7.8
114,23,4,2026,8.3
115,23,6,2026,8.3
116,24,1,2026,6.1
117,24,9,2026,6.1
118,24,3,2026,5.6
119,24,2,2026,5.9
120,24,4,2026,5.3
121,25,1,2026,3.7
122,25,3,2026,2.5
123,25,2,2026,4.7
124,25,12,2026,0.7
125,25,4,2026,0.1
126,26,6,2026,7.2
127,26,1,2026,7.1
128,26,4,2026,8.6
129,26,11,2026,7.7
130,26,12,2026,7.9
131,27,12,2026,3.1
132,27,7,2026,0.0
133,27,8,2026,2.6
134,27,4,2026,3.8
135,27,2,2026,2.8
136,28,2,2026,6.6
137,28,13,2026,5.0
138,28,5,2026,6.9
139,28,12,2026,6.7
140,28,7,2026,5.8
141,29,13,2026,7.4
142,29,12,2026,8.5
143,29,11,2026,9.8
144,29,3,2026,9.2
145,29,4,2026,8.7
146,30,9,2026,8.2
147,30,10,2026,8.6
148,30,8,2026,9.2
149,30,12,2026,7.9
150,30,1,2026,10.0
151,31,2,2026,8.2
152,31,9,2026,7.1
153,31,7,2026,7.1
154,31,8,2026,8.8
155,31,5,2026,9.5
156,32,10,2026,2.2
157,32,9,2026,4.5
158,32,5,2026,3.6
159,32,4,2026,1.2
160,32,13,2026,2.2
161,33,2,2026,9.0
162,33,9,2026,8.7
163,33,13,2026,8.1
164,33,6,2026,7.8
165,33,11,2026,8.5
166,34,13,2026,7.6
167,34,10,2026,7.8
168,34,5,2026,9.5
169,34,3,2026,7.0
170,34,1,2026,8.1
171,35,6,2026,5.1
172,35,4,2026,5.6
173,35,5,2026,6.9
174,35,7,2026,6.2
175,35,10,2026,5.5
176,36,10,2026,5.9
177,36,12,2026,6.4
178,36,5,2026,5.2
179,36,7,2026,6.1
180,36,13,2026,5.5
181,37,11,2026,9.7
182,37,12,2026,9.1
183,37,1,2026,7.5
184,37,3,2026,7.4
185,37,9,2026,7.7
186,38,8,2026,9.9
187,38,10,2026,8.2
188,38,5,2026,7.1
189,38,1,2026,8.0
190,38,3,2026,9.7
191,39,8,2026,7.7
192,39,5,2026,9.7
193,39,6,2026,8.9
194,39,3,2026,7.6
195,39,13,2026,7.9
196,40,4,2026,7.9
197,40,6,2026,7.5
198,40,8,2026,7.3
199,40,1,2026,9.3
200,40,10,2026,9.9
201,41,9,2026,7.3
202,41,12,2026,8.3
203,41,6,2026,7.2
204,41,2,2026,7.5
205,41,13,2026,8.9
206,42,6,2026,6.3
207,42,13,2026,6.8
208,42,10,2026,5.2
209,42,1,2026,5.1
210,42,5,2026,5.9
211,43,3,2026,2.0
212,43,4,2026,0.3
213,43,1,2026,0.6
214,43,5,2026,1.2
215,43,7,2026,0.7
216,44,2,2026,7.0
217,44,1,2026,5.3
218,44,13,2026,6.5
219,44,3,2026,6.9
220,44,4,2026,5.9
221,45,6,2026,9.8
222,45,2,2026,9.1
223,45,3,2026,7.0
224,45,1,2026,9.2
225,45,5,2026,8.3
226,46,6,2026,9.2
227,46,4,2026,9.9
228,46,5,2026,7.9
229,46,11,2026,7.5
230,46,7,2026,7.4
231,47,8,2026,9.5
232,47,7,2026,7.1
233,47,4,2026,8.9
234,47,5,2026,8.0
235,47,12,2026,7.0
236,48,8,2026,2.5
237,48,12,2026,0.7
238,48,11,2026,1.2
239,48,4,2026,2.8
240,48,5,2026,2.1
241,49,8,2026,9.8
242,49,7,2026,9.3
243,49,9,2026,9.2
244,49,3,2026,7.4
245,49,10,2026,8.4
246,50,3,2026,8.2
247,50,7,2026,8.3
248,50,8,2026,9.4
249,50,1,2026,9.8
250,50,9,2026,9.8
251,51,13,2026,10.0
252,51,7,2026,9.9
253,51,3,2026,8.9
254,51,11,2026,8.3
255,51,5,2026,10.0
256,52,9,2026,5.9
257,52,8,2026,6.7
258,52,13,2026,6.3
259,52,5,2026,6.2
260,52,10,2026,6.3
261,53,6,2026,9.4
262,53,1,2026,7.9
263,53,12,2026,8.7
