id_matricula_disciplina,faltas_totais,frequencia,situacao_final
1,2,0.97,APROVADO
2,2,0.97,APROVADO
3,12,0.8,APROVADO
4,12,0.8,REPROVADO
5,4,0.93,APROVADO
6,6,0.9,APROVADO
7,3,0.95,APROVADO
8,11,0.82,APROVADO
9,7,0.88,APROVADO
10,14,0.77,APROVADO
11,4,0.93,REPROVADO
12,5,0.92,REPROVADO
13,4,0.93,APROVADO
14,9,0.85,APROVADO
15,2,0.97,APROVADO
16,1,0.98,REPROVADO
17,3,0.95,APROVADO
18,3,0.95,REPROVADO
19,0,1.0,APROVADO
20,4,0.93,APROVADO
21,2,0.97,APROVADO
22,12,0.8,APROVADO
23,29,0.52,REPROVADO
24,10,0.83,REPROVADO
25,15,0.75,APROVADO
26,13,0.78,APROVADO
27,9,0.85,APROVADO
28,5,0.92,APROVADO
29,8,0.87,REPROVADO
30,2,0.97,APROVADO
31,14,0.77,REPROVADO
32,2,0.97,APROVADO
33,1,0.98,APROVADO
34,12,0.8,APROVADO
35,12,0.8,APROVADO
36,0,1.0,APROVADO
37,3,0.95,APROVADO
38,0,1.0,APROVADO
39,10,0.83,APROVADO
40,2,0.97,APROVADO
41,13,0.78,APROVADO
42,0,1.0,APROVADO
43,13,0.78,APROVADO
44,1,0.98,APROVADO
45,2,0.97,APROVADO
46,15,0.75,REPROVADO
47,2,0.97,APROVADO
48,1,0.98,APROVADO
49,0,1.0,APROVADO
50,4,0.93,APROVADO
51,4,0.93,APROVADO
52,3,0.95,APROVADO
53,8,0.87,APROVADO
54,5,0.92,APROVADO
55,0,1.0,APROVADO
56,6,0.9,APROVADO
57,3,0.95,APROVADO
58,9,0.85,APROVADO
59,1,0.98,APROVADO
60,0,1.0,APROVADO
61,1,0.98,APROVADO
62,5,0.92,APROVADO
63,7,0.88,APROVADO
64,13,0.78,APROVADO
65,39,0.35,REPROVADO
66,38,0.37,REPROVADO
67,4,0.93,APROVADO
68,11,0.82,APROVADO
69,5,0.92,APROVADO
70,9,0.85,APROVADO
71,2,0.97,APROVADO
72,6,0.9,APROVADO
73,7,0.88,APROVADO
74,10,0.83,APROVADO
75,13,0.78,APROVADO
76,2,0.97,APROVADO
77,39,0.35,REPROVADO
78,0,1.0,REPROVADO
79,33,0.45,REPROVADO
80,5,0.92,APROVADO
81,2,0.97,APROVADO
82,2,0.97,REPROVADO
83,6,0.9,REPROVADO
84,13,0.78,APROVADO
85,1,0.98,APROVADO
86,0,1.0,APROVADO
87,6,0.9,APROVADO
88,14,0.77,APROVADO
89,5,0.92,REPROVADO
90,12,0.8,APROVADO
91,1,0.98,APROVADO
92,0,1.0,APROVADO
93,1,0.98,APROVADO
94,1,0.98,APROVADO
95,4,0.93,REPROVADO
96,13,0.78,APROVADO
97,6,0.9,APROVADO
98,15,0.75,APROVADO
99,3,0.95,APROVADO
100,2,0.97,APROVADO
101,1,0.98,APROVADO
102,0,1.0,APROVADO
103,10,0.83,APROVADO
104,3,0.95,APROVADO
105,6,0.9,APROVADO
106,33,0.45,REPROVADO
107,11,0.82,APROVADO
108,26,0.57,REPROVADO
109,5,0.92,REPROVADO
110,8,0.87,APROVADO
111,8,0.87,REPROVADO
112,5,0.92,APROVADO
113,2,0.97,APROVADO
114,3,0.95,APROVADO
115,0,1.0,APROVADO
116,5,0.92,APROVADO
117,0,1.0,REPROVADO
118,0,1.0,REPROVADO
119,5,0.92,APROVADO
120,12,0.8,APROVADO
121,0,1.0,APROVADO
122,4,0.93,APROVADO
123,4,0.93,APROVADO
124,7,0.88,APROVADO
125,35,0.42,REPROVADO
126,3,0.95,APROVADO
127,0,1.0,APROVADO
128,5,0.92,APROVADO
129,31,0.48,REPROVADO
130,4,0.93,REPROVADO
131,24,0.6,REPROVADO
132,5,0.92,APROVADO
133,15,0.75,APROVADO
134,5,0.92,APROVADO
135,4,0.93,APROVADO
136,0,1.0,APROVADO
137,1,0.98,APROVADO
138,15,0.75,APROVADO
139,4,0.93,APROVADO
