id_matricula_disciplina,faltas_totais,frequencia,situacao_final
1,3,0.95,APROVADO
2,0,1.0,APROVADO
3,4,0.93,APROVADO
4,13,0.78,APROVADO
5,2,0.97,APROVADO
6,3,0.95,APROVADO
7,15,0.75,REPROVADO
8,3,0.95,REPROVADO
9,2,0.97,APROVADO
10,3,0.95,APROVADO
11,5,0.92,APROVADO
12,12,0.8,APROVADO
13,0,1.0,REPROVADO
14,2,0.97,APROVADO
15,13,0.78,APROVADO
16,0,1.0,APROVADO
17,2,0.97,APROVADO
18,18,0.7,REPROVADO
19,23,0.62,REPROVADO
20,11,0.82,APROVADO
21,3,0.95,APROVADO
22,16,0.73,REPROVADO
23,0,1.0,REPROVADO
24,7,0.88,APROVADO
25,14,0.77,REPROVADO
26,32,0.47,REPROVADO
27,5,0.92,APROVADO
28,10,0.83,REPROVADO
29,2,0.97,APROVADO
30,1,0.98,APROVADO
31,11,0.82,APROVADO
32,8,0.87,APROVADO
33,25,0.58,REPROVADO
34,0,1.0,APROVADO
35,6,0.9,APROVADO
36,2,0.97,APROVADO
37,17,0.72,REPROVADO
38,0,1.0,APROVADO
39,1,0.98,APROVADO
40,5,0.92,APROVADO
41,11,0.82,APROVADO
42,7,0.88,APROVADO
43,1,0.98,APROVADO
44,5,0.92,APROVADO
45,2,0.97,APROVADO
46,6,0.9,APROVADO
47,13,0.78,APROVADO
48,10,0.83,APROVADO
49,2,0.97,APROVADO
50,9,0.85,APROVADO
51,14,0.77,APROVADO
52,23,0.62,REPROVADO
53,1,0.98,APROVADO
54,4,0.93,APROVADO
55,5,0.92,APROVADO
56,0,1.0,APROVADO
57,6,0.9,APROVADO
58,0,1.0,APROVADO
59,11,0.82,APROVADO
60,5,0.92,APROVADO
61,5,0.92,APROVADO
62,9,0.85,APROVADO
63,5,0.92,APROVADO
64,29,0.52,REPROVADO
65,17,0.72,REPROVADO
66,2,0.97,APROVADO
67,4,0.93,APROVADO
68,26,0.57,REPROVADO
69,0,1.0,APROVADO
70,5,0.92,APROVADO
71,6,0.9,REPROVADO
72,8,0.87,APROVADO
73,4,0.93,APROVADO
74,11,0.82,APROVADO
75,0,1.0,APROVADO
76,7,0.88,APROVADO
77,4,0.93,APROVADO
78,4,0.93,APROVADO
79,6,0.9,APROVADO
80,2,0.97,APROVADO
81,5,0.92,APROVADO
82,1,0.98,APROVADO
83,15,0.75,APROVADO
84,1,0.98,APROVADO
85,40,0.33,REPROVADO
86,0,1.0,APROVADO
87,5,0.92,APROVADO
88,11,0.82,APROVADO
89,11,0.82,APROVADO
90,0,1.0,APROVADO
91,5,0.92,APROVADO
92,12,0.8,APROVADO
93,3,0.95,APROVADO
94,5,0.92,APROVADO
95,6,0.9,APROVADO
96,30,0.5,REPROVADO
97,11,0.82,APROVADO
98,0,1.0,APROVADO
99,14,0.77,REPROVADO
100,30,0.5,REPROVADO
101,10,0.83,APROVADO
102,19,0.68,REPROVADO
103,0,1.0,APROVADO
104,4,0.93,APROVADO
105,6,0.9,APROVADO
106,13,0.78,APROVADO
107,18,0.7,REPROVADO
108,6,0.9,APROVADO
109,10,0.83,APROVADO
110,1,0.98,APROVADO
111,8,0.87,APROVADO
112,2,0.97,APROVADO
113,15,0.75,APROVADO
114,0,1.0,REPROVADO
115,4,0.93,APROVADO
116,15,0.75,APROVADO
117,5,0.92,APROVADO
118,9,0.85,REPROVADO
119,14,0.77,APROVADO
120,3,0.95,APROVADO
121,4,0.93,APROVADO
122,29,0.52,REPROVADO
123,4,0.93,APROVADO
124,31,0.48,REPROVADO
125,24,0.6,REPROVADO
126,7,0.88,APROVADO
127,2,0.97,APROVADO
128,1,0.98,APROVADO
129,13,0.78,APROVADO
130,3,0.95,APROVADO
131,6,0.9,APROVADO
132,14,0.77,APROVADO
133,5,0.92,APROVADO
134,10,0.83,APROVADO
135,2,0.97,APROVADO
136,9,0.85,APROVADO
137,2,0.97,APROVADO
138,2,0.97,REPROVADO
139,22,0.63,REPROVADO
140,13,0.78,APROVADO
141,0,1.0,REPROVADO
142,5,0.92,REPROVADO
143,6,0.9,APROVADO
144,3,0.95,APROVADO
145,4,0.93,APROVADO
146,2,0.97,REPROVADO
147,14,0.77,APROVADO
148,5,0.92,APROVADO
149,4,0.93,APROVADO
150,0,1.0,APROVADO
151,11,0.82,APROVADO
152,0,1.0,APROVADO
153,10,0.83,APROVADO
154,1,0.98,APROVADO
155,0,1.0,APROVADO
156,11,0.82,APROVADO
157,8,0.87,APROVADO
158,7,0.88,APROVADO
159,4,0.93,APROVADO
160,4,0.93,APROVADO
161,11,0.82,APROVADO
162,6,0.9,APROVADO
163,5,0.92,APROVADO
164,1,0.98,APROVADO
165,4,0.93,APROVADO
166,12,0.8,APROVADO
167,5,0.92,APROVADO
168,19,0.68,REPROVADO
169,4,0.93,APROVADO
170,8,0.87,APROVADO
171,5,0.92,REPROVADO
172,3,0.95,APROVADO
173,25,0.58,REPROVADO
174,16,0.73,REPROVADO
175,11,0.82,APROVADO
176,4,0.93,REPROVADO
177,10,0.83,REPROVADO
178,3,0.95,APROVADO
179,13,0.78,APROVADO
180,20,0.67,REPROVADO
181,13,0.78,APROVADO
182,2,0.97,APROVADO
183,5,0.92,APROVADO
184,3,0.95,APROVADO
185,1,0.98,APROVADO
186,3,0.95,APROVADO
187,10,0.83,APROVADO
188,0,1.0,APROVADO
189,5,0.92,APROVADO
190,2,0.97,APROVADO
191,2,0.97,REPROVADO
192,0,1.0,APROVADO
193,1,0.98,APROVADO
194,11,0.82,REPROVADO
195,40,0.33,REPROVADO
196,14,0.77,REPROVADO
197,8,0.87,APROVADO
198,0,1.0,APROVADO
199,5,0.92,APROVADO
200,10,0.83,APROVADO
201,3,0.95,APROVADO
202,2,0.97,APROVADO
203,3,0.95,APROVADO
204,1,0.98,APROVADO
205,12,0.8,APROVADO
206,15,0.75,REPROVADO
207,0,1.0,APROVADO
208,5,0.92,APROVADO
209,2,0.97,APROVADO
210,2,0.97,APROVADO
211,6,0.9,APROVADO
212,1,0.98,APROVADO
213,2,0.97,APROVADO
214,13,0.78,APROVADO
215,10,0.83,APROVADO
216,9,0.85,APROVADO
