id_matricula_disciplina,id_estudante,id_disciplina,ano_letivo
1,1,13,2026
2,1,5,2026
3,1,11,2026
4,2,4,2026
5,2,2,2026
6,2,1,2026
7,3,11,2026
8,3,5,2026
9,3,8,2026
10,6,10,2026
11,6,13,2026
12,6,6,2026
13,7,2,2026
14,7,5,2026
15,7,3,2026
16,8,10,2026
17,8,7,2026
18,8,13,2026
19,9,9,2026
20,9,12,2026
21,9,5,2026
22,11,6,2026
23,11,12,2026
24,11,5,2026
25,12,10,2026
26,12,12,2026
27,12,7,2026
28,13,11,2026
29,13,4,2026
30,13,3,2026
31,14,8,2026
32,14,10,2026
33,14,7,2026
34,16,9,2026
35,16,11,2026
36,16,2,2026
37,17,11,2026
38,17,5,2026
39,17,8,2026
40,19,8,2026
41,19,4,2026
42,19,11,2026
43,20,7,2026
44,20,3,2026
45,20,8,2026
46,21,4,2026
47,21,13,2026
48,21,8,2026
49,22,9,2026
50,22,7,2026
51,22,12,2026
52,23,4,2026
53,23,10,2026
54,23,12,2026
55,24,2,2026
56,24,4,2026
57,24,5,2026
58,27,13,2026
59,27,6,2026
60,27,12,2026
61,28,7,2026
62,28,8,2026
63,28,5,2026
64,31,5,2026
65,31,1,2026
66,31,8,2026
67,32,5,2026
68,32,11,2026
69,32,9,2026
70,33,4,2026
71,33,5,2026
72,33,12,2026
73,35,10,2026
74,35,2,2026
75,35,11,2026
76,37,2,2026
77,37,7,2026
78,37,1,2026
79,38,8,2026
80,38,7,2026
81,38,10,2026
82,39,4,2026
83,39,9,2026
84,39,13,2026
85,40,11,2026
86,40,2,2026
87,40,1,2026
88,41,13,2026
89,41,6,2026
90,41,11,2026
91,42,12,2026
92,42,9,2026
93,42,4,2026
94,44,4,2026
95,44,3,2026
96,44,5,2026
97,45,11,2026
98,45,1,2026
99,45,5,2026
100,46,1,2026
101,46,8,2026
102,46,9,2026
103,47,7,2026
104,47,1,2026
105,47,11,2026
106,48,12,2026
107,48,6,2026
108,48,9,2026
109,49,9,2026
110,49,13,2026
111,49,5,2026
112,50,13,2026
113,50,1,2026
114,50,12,2026
115,51,4,2026
116,51,12,2026
117,51,8,2026
118,52,12,2026
119,52,6,2026
120,52,8,2026
121,53,2,2026
122,53,6,2026
123,53,5,2026
124,55,3,2026
125,55,7,2026
126,55,10,2026
127,56,2,2026
128,56,12,2026
129,56,10,2026
130,58,1,2026
131,58,3,2026
132,58,12,2026
133,60,11,2026
134,60,5,2026
135,60,10,2026
136,61,3,2026
137,61,5,2026
138,61,13,2026
139,62,11,2026
140,62,10,2026
141,62,8,2026
142,63,1,2026
143,63,11,2026
144,63,9,2026
145,65,3,2026
146,65,2,2026
147,65,4,2026
148,66,1,2026
149,66,3,2026
150,66,13,2026
151,67,10,2026
152,67,12,2026
153,67,11,2026
154,68,13,2026
155,68,3,2026
156,68,5,2026
157,69,7,2026
158,69,3,2026
159,69,9,2026
160,71,13,2026
161,71,8,2026
162,71,2,2026
163,72,2,2026
164,72,7,2026
165,72,4,2026
166,73,10,2026
167,73,3,2026
168,73,12,2026
169,74,7,2026
170,74,9,2026
171,74,2,2026
172,75,1,2026
173,75,8,2026
174,75,10,2026
175,76,3,2026
176,76,7,2026
177,76,13,2026
178,78,11,2026
179,78,6,2026
180,78,4,2026
181,79,5,2026
182,79,13,2026
183,79,10,2026
184,80,5,2026
185,80,11,2026
186,80,3,2026
187,81,13,2026
188,81,2,2026
189,81,4,2026
