id_registro,id_matricula_disciplina,data_aula,situacao
1,1,2026-01-19,PRESENTE
2,1,2026-02-10,PRESENTE
3,1,2025-12-12,PRESENTE
4,1,2026-02-02,PRESENTE
5,1,2026-01-13,PRESENTE
6,1,2026-02-15,PRESENTE
7,1,2026-01-01,FALTA
8,1,2026-02-24,PRESENTE
9,1,2026-01-12,PRESENTE
10,1,2026-01-28,PRESENTE
11,1,2025-12-23,PRESENTE
12,1,2026-01-19,FALTA
13,1,2026-01-09,PRESENTE
14,1,2026-01-09,PRESENTE
15,1,2026-01-07,PRESENTE
16,2,2026-02-22,FALTA
17,2,2026-01-25,FALTA
18,2,2026-02-22,PRESENTE
19,2,2026-01-17,PRESENTE
20,2,2026-01-18,PRESENTE
21,2,2025-12-04,PRESENTE
22,2,2026-01-25,PRESENTE
23,2,2025-12-10,PRESENTE
24,2,2026-01-09,FALTA
25,2,2026-02-24,FALTA
26,2,2025-12-02,PRESENTE
27,2,2026-02-08,FALTA
28,2,2025-12-27,PRESENTE
29,2,2025-12-15,PRESENTE
30,2,2026-01-13,PRESENTE
31,3,2025-12-27,PRESENTE
32,3,2025-11-29,FALTA
33,3,2026-01-08,FALTA
34,3,2026-01-16,PRESENTE
35,3,2026-02-16,PRESENTE
36,3,2026-01-23,PRESENTE
37,3,2026-01-21,FALTA
38,3,2026-02-13,FALTA
39,3,2026-02-06,PRESENTE
40,3,2026-02-19,PRESENTE
41,3,2025-12-08,FALTA
42,3,2025-12-09,PRESENTE
43,3,2026-01-14,PRESENTE
44,3,2025-12-16,PRESENTE
45,3,2026-01-26,PRESENTE
46,4,2026-01-13,PRESENTE
47,4,2026-01-28,PRESENTE
48,4,2025-12-31,PRESENTE
49,4,2026-02-20,FALTA
50,4,2026-01-25,FALTA
51,4,2026-02-26,PRESENTE
52,4,2025-12-07,PRESENTE
53,4,2026-02-26,PRESENTE
54,4,2026-01-01,FALTA
55,4,2026-01-20,PRESENTE
56,4,2025-12-29,FALTA
57,4,2026-01-20,PRESENTE
58,4,2026-02-22,PRESENTE
59,4,2025-12-31,FALTA
60,4,2025-12-05,PRESENTE
61,5,2026-01-17,PRESENTE
62,5,2026-01-29,PRESENTE
63,5,2025-12-23,PRESENTE
64,5,2025-12-05,FALTA
65,5,2026-01-25,FALTA
66,5,2025-11-30,FALTA
67,5,2026-01-19,PRESENTE
68,5,2026-02-04,PRESENTE
69,5,2026-01-17,PRESENTE
70,5,2026-01-07,FALTA
71,5,2025-12-12,FALTA
72,5,2025-12-21,PRESENTE
73,5,2025-12-08,PRESENTE
74,5,2026-02-01,PRESENTE
75,5,2026-01-03,PRESENTE
76,6,2026-01-09,PRESENTE
77,6,2025-12-09,PRESENTE
78,6,2026-02-20,PRESENTE
79,6,2025-12-01,PRESENTE
80,6,2025-11-30,PRESENTE
81,6,2026-01-05,PRESENTE
82,6,2026-01-17,FALTA
83,6,2026-02-06,FALTA
84,6,2025-11-28,FALTA
85,6,2026-01-02,PRESENTE
86,6,2026-02-13,PRESENTE
87,6,2025-12-30,PRESENTE
88,6,2025-12-18,FALTA
89,6,2026-01-20,FALTA
90,6,2026-01-05,PRESENTE
91,7,2026-01-12,FALTA
92,7,2026-01-29,FALTA
93,7,2026-01-10,PRESENTE
94,7,2025-12-09,PRESENTE
95,7,2026-01-09,PRESENTE
96,7,2026-01-14,PRESENTE
97,7,2026-01-13,FALTA
98,7,2025-12-20,PRESENTE
99,7,2025-12-28,PRESENTE
100,7,2025-12-23,PRESENTE
101,7,2026-02-02,PRESENTE
102,7,2026-02-04,PRESENTE
103,7,2025-11-29,PRESENTE
104,7,2026-02-02,PRESENTE
105,7,2025-12-16,PRESENTE
106,8,2025-12-08,PRESENTE
107,8,2025-12-06,FALTA
108,8,2026-02-16,PRESENTE
109,8,2026-01-07,PRESENTE
110,8,2026-02-19,PRESENTE
111,8,2026-02-10,PRESENTE
112,8,2025-12-07,PRESENTE
113,8,2025-12-01,PRESENTE
114,8,2026-02-23,PRESENTE
115,8,2026-01-28,FALTA
116,8,2026-01-11,PRESENTE
117,8,2025-12-31,FALTA
118,8,2026-01-15,PRESENTE
119,8,2026-02-25,PRESENTE
120,8,2025-12-13,PRESENTE
121,9,2026-01-30,FALTA
122,9,2026-02-03,PRESENTE
123,9,2026-01-03,FALTA
124,9,2025-12-08,FALTA
125,9,2026-01-01,FALTA
126,9,2025-12-09,PRESENTE
127,9,2026-02-13,PRESENTE
128,9,2025-12-16,FALTA
129,9,2026-01-05,PRESENTE
130,9,2026-02-27,FALTA
131,9,2025-12-27,FALTA
132,9,2025-12-12,PRESENTE
133,9,2026-02-26,PRESENTE
134,9,2025-12-25,PRESENTE
135,9,2025-12-07,PRESENTE
136,10,2025-12-01,PRESENTE
137,10,2025-12-05,PRESENTE
138,10,2025-11-30,FALTA
139,10,2026-01-30,FALTA
140,10,2026-02-12,PRESENTE
141,10,2025-12-16,PRESENTE
142,10,2025-12-20,PRESENTE
143,10,2026-02-05,PRESENTE
144,10,2025-12-06,PRESENTE
145,10,2026-02-17,PRESENTE
146,10,2025-12-01,PRESENTE
147,10,2026-02-25,FALTA
148,10,2025-12-09,FALTA
149,10,2025-12-12,PRESENTE
150,10,2026-02-15,FALTA
151,11,2026-02-13,FALTA
152,11,2026-02-12,PRESENTE
153,11,2026-01-03,FALTA
154,11,2026-01-16,PRESENTE
155,11,2026-02-04,PRESENTE
156,11,2026-01-22,FALTA
157,11,2026-01-05,PRESENTE
158,11,2026-02-18,FALTA
159,11,2025-11-28,PRESENTE
160,11,2025-12-19,PRESENTE
161,11,2025-12-29,PRESENTE
162,11,2026-01-19,FALTA
163,11,2026-02-26,PRESENTE
164,11,2025-12-05,FALTA
165,11,2025-12-17,PRESENTE
166,12,2025-12-04,PRESENTE
167,12,2026-02-25,PRESENTE
168,12,2025-12-02,PRESENTE
169,12,2026-02-09,PRESENTE
170,12,2026-02-17,PRESENTE
171,12,2026-01-03,PRESENTE
172,12,2026-02-23,FALTA
173,12,2026-01-21,PRESENTE
174,12,2026-02-06,FALTA
175,12,2026-01-25,FALTA
176,12,2026-02-09,PRESENTE
177,12,2025-12-01,FALTA
178,12,2025-12-15,PRESENTE
179,12,2026-01-28,PRESENTE
180,12,2026-02-19,PRESENTE
181,13,2026-01-20,PRESENTE
182,13,2026-02-18,FALTA
183,13,2025-12-11,FALTA
184,13,2026-01-19,PRESENTE
185,13,2025-12-01,PRESENTE
186,13,2026-02-07,FALTA
187,13,2026-01-15,PRESENTE
188,13,2026-02-26,FALTA
189,13,2026-02-06,FALTA
190,13,2026-02-11,PRESENTE
191,13,2026-01-25,PRESENTE
192,13,2025-12-11,PRESENTE
193,13,2025-12-18,PRESENTE
194,13,2025-12-18,PRESENTE
195,13,2026-02-17,FALTA
196,14,2026-01-31,FALTA
197,14,2026-01-31,PRESENTE
198,14,2025-12-05,PRESENTE
199,14,2026-01-05,FALTA
200,14,2026-01-16,PRESENTE
201,14,2026-02-08,PRESENTE
202,14,2025-12-01,PRESENTE
203,14,2026-01-17,PRESENTE
204,14,2025-12-07,FALTA
205,14,2026-01-04,PRESENTE
206,14,2025-12-10,FALTA
207,14,2025-12-01,FALTA
208,14,2025-12-05,PRESENTE
209,14,2025-12-11,PRESENTE
210,14,2025-12-07,PRESENTE
211,15,2026-02-11,PRESENTE
212,15,2025-12-20,PRESENTE
213,15,2025-12-04,PRESENTE
214,15,2025-12-04,FALTA
215,15,2025-12-03,PRESENTE
216,15,2025-12-31,PRESENTE
217,15,2026-01-24,FALTA
218,15,2025-12-18,PRESENTE
219,15,2026-01-02,PRESENTE
220,15,2026-01-16,PRESENTE
221,15,2026-01-29,PRESENTE
222,15,2026-01-17,FALTA
223,15,2026-01-29,PRESENTE
224,15,2025-12-28,PRESENTE
225,15,2026-02-09,FALTA
226,16,2026-02-21,FALTA
227,16,2026-01-08,PRESENTE
228,16,2026-02-26,FALTA
229,16,2025-12-11,PRESENTE
230,16,2026-02-18,PRESENTE
231,16,2026-01-06,PRESENTE
232,16,2025-12-12,PRESENTE
233,16,2026-01-04,PRESENTE
234,16,2026-01-20,PRESENTE
235,16,2026-01-16,PRESENTE
236,16,2025-12-24,PRESENTE
237,16,2026-01-30,PRESENTE
238,16,2025-12-12,PRESENTE
239,16,2025-12-09,PRESENTE
240,16,2026-02-20,PRESENTE
241,17,2025-12-28,PRESENTE
242,17,2025-12-03,PRESENTE
243,17,2026-01-17,PRESENTE
244,17,2025-12-25,PRESENTE
245,17,2026-02-17,FALTA
246,17,2025-12-14,PRESENTE
247,17,2025-12-09,PRESENTE
248,17,2025-11-29,PRESENTE
249,17,2025-12-26,PRESENTE
250,17,2026-02-18,FALTA
251,17,2026-01-04,PRESENTE
252,17,2026-01-25,PRESENTE
253,17,2026-01-19,PRESENTE
254,17,2026-02-21,PRESENTE
255,17,2026-02-07,PRESENTE
256,18,2025-12-01,PRESENTE
257,18,2026-01-17,PRESENTE
258,18,2026-02-26,PRESENTE
259,18,2026-01-28,PRESENTE
260,18,2026-02-20,FALTA
261,18,2026-01-27,PRESENTE
262,18,2026-02-21,PRESENTE
263,18,2026-01-06,PRESENTE
264,18,2025-12-22,PRESENTE
265,18,2025-12-12,PRESENTE
266,18,2025-12-21,PRESENTE
267,18,2026-01-21,PRESENTE
268,18,2026-02-26,PRESENTE
269,18,2026-02-26,FALTA
270,18,2026-01-08,PRESENTE
271,19,2025-12-12,FALTA
272,19,2026-02-12,PRESENTE
273,19,2026-02-15,PRESENTE
274,19,2026-01-21,PRESENTE
275,19,2026-02-01,PRESENTE
276,19,2026-01-17,PRESENTE
277,19,2026-02-16,FALTA
278,19,2025-12-12,PRESENTE
279,19,2026-02-11,FALTA
280,19,2026-02-10,PRESENTE
281,19,2026-01-18,PRESENTE
282,19,2025-12-01,PRESENTE
283,19,2026-01-10,PRESENTE
284,19,2026-02-27,FALTA
285,19,2026-02-01,PRESENTE
286,20,2026-01-11,FALTA
287,20,2025-12-17,FALTA
288,20,2026-01-13,FALTA
289,20,2026-02-05,PRESENTE
290,20,2025-12-14,PRESENTE
291,20,2025-12-30,PRESENTE
292,20,2025-12-29,PRESENTE
293,20,2025-12-06,PRESENTE
294,20,2026-01-12,PRESENTE
295,20,2026-02-02,FALTA
296,20,2026-01-11,PRESENTE
297,20,2026-01-12,PRESENTE
298,20,2026-02-03,PRESENTE
299,20,2025-12-26,PRESENTE
300,20,2026-01-20,PRESENTE
301,21,2026-02-09,PRESENTE
302,21,2026-01-01,FALTA
303,21,2026-01-14,PRESENTE
304,21,2026-02-23,PRESENTE
305,21,2026-02-14,PRESENTE
306,21,2026-02-27,FALTA
307,21,2026-01-30,PRESENTE
308,21,2026-02-07,FALTA
309,21,2026-01-05,FALTA
310,21,2025-12-06,FALTA
311,21,2025-12-12,PRESENTE
312,21,2025-12-25,FALTA
313,21,2025-12-23,PRESENTE
314,21,2026-01-11,FALTA
315,21,2026-02-14,PRESENTE
316,22,2025-12-29,FALTA
317,22,2026-02-26,PRESENTE
318,22,2026-02-01,FALTA
319,22,2025-12-18,PRESENTE
320,22,2025-11-28,PRESENTE
321,22,2025-12-17,PRESENTE
322,22,2026-01-20,PRESENTE
323,22,2026-01-26,PRESENTE
324,22,2025-12-28,FALTA
325,22,2026-01-20,PRESENTE
326,22,2025-12-23,FALTA
327,22,2026-02-07,PRESENTE
328,22,2026-02-12,FALTA
329,22,2026-01-10,PRESENTE
330,22,2026-01-17,PRESENTE
331,23,2025-12-24,PRESENTE
332,23,2026-02-04,PRESENTE
333,23,2025-12-22,PRESENTE
334,23,2026-02-25,PRESENTE
335,23,2026-01-09,PRESENTE
336,23,2025-12-09,PRESENTE
337,23,2026-02-18,PRESENTE
338,23,2026-01-07,PRESENTE
339,23,2025-12-04,FALTA
340,23,2026-02-25,PRESENTE
341,23,2026-01-18,PRESENTE
342,23,2025-12-20,FALTA
343,23,2026-01-06,PRESENTE
344,23,2026-01-24,FALTA
345,23,2026-02-26,PRESENTE
